Episodio,Reward,Ghosts,Points,Big Points,Steps,Ganó
1,146.0,2,124.0,4,1258,0
2,156.0,4,124.0,4,1482,0
3,121.0,1,107.0,3,888,0
4,146.0,2,124.0,4,1564,0
5,156.0,4,124.0,4,1256,0
6,146.0,2,124.0,4,1706,0
7,149.0,3,122.0,4,1048,0
8,148.0,4,119.0,3,1104,0
9,144.0,2,122.0,4,1194,0
10,149.0,4,120.0,3,2394,0
11,151.0,3,124.0,4,1438,0
12,150.0,3,123.0,4,984,0
13,155.0,4,123.0,4,1262,0
14,155.0,4,123.0,4,1260,0
15,151.0,3,124.0,4,1482,0
16,69.0,3,51.0,1,644,0
17,146.0,2,124.0,4,1284,0
18,155.0,4,123.0,4,2004,0
19,150.0,3,123.0,4,2178,0
20,148.0,3,121.0,4,1114,0
21,146.0,2,124.0,4,1790,0
22,146.0,2,124.0,4,1174,0
23,156.0,4,124.0,4,1516,0
24,148.0,4,119.0,3,1302,0
25,139.0,4,110.0,3,1738,0
26,156.0,4,124.0,4,1018,0
27,151.0,3,124.0,4,1130,0
28,162.0,7,118.0,3,1484,0
29,144.0,4,115.0,3,1410,0
30,150.0,5,116.0,3,1016,0
31,152.0,4,120.0,4,1346,0
32,145.0,4,116.0,3,1240,0
33,156.0,4,124.0,4,1016,0
34,151.0,3,124.0,4,1218,0
35,149.0,4,120.0,3,1076,0
36,116.0,1,105.0,2,1052,0
37,147.0,2,125.0,4,1770,0
38,151.0,3,124.0,4,1124,0
39,150.0,3,123.0,4,1020,0
40,155.0,4,123.0,4,1024,0
41,129.0,0,120.0,3,2112,0
42,146.0,2,124.0,4,1074,0
43,146.0,2,124.0,4,1378,0
44,144.0,4,115.0,3,1144,0
45,136.0,3,112.0,3,1142,0
46,146.0,2,124.0,4,1598,0
47,155.0,4,123.0,4,1096,0
48,137.0,4,108.0,3,1242,0
49,156.0,4,124.0,4,1642,0
50,128.0,2,109.0,3,1080,0
51,151.0,3,124.0,4,1154,0
52,156.0,4,124.0,4,1602,0
53,115.0,3,91.0,3,950,0
54,156.0,4,124.0,4,1786,0
55,149.0,4,120.0,3,1038,0
56,151.0,3,124.0,4,1394,0
57,155.0,4,123.0,4,1430,0
58,148.0,4,119.0,3,1142,0
59,149.0,4,120.0,3,1500,0
60,149.0,4,120.0,3,1402,0
61,287.0,7,231.0,7,2016,1
62,156.0,4,124.0,4,1598,0
63,156.0,4,124.0,4,2098,0
64,149.0,3,122.0,4,1210,0
65,156.0,4,124.0,4,1652,0
66,148.0,4,119.0,3,1754,0
67,115.0,1,101.0,3,1046,0
68,151.0,3,124.0,4,1674,0
69,156.0,4,124.0,4,1104,0
70,147.0,2,125.0,4,1500,0
71,147.0,4,118.0,3,1136,0
72,144.0,3,120.0,3,1440,0
73,106.0,3,85.0,2,914,0
74,156.0,4,124.0,4,1264,0
75,156.0,4,124.0,4,1778,0
76,151.0,3,124.0,4,1908,0
77,151.0,3,124.0,4,1642,0
78,156.0,4,124.0,4,1462,0
79,136.0,3,112.0,3,946,0
80,146.0,2,124.0,4,2386,0
81,138.0,4,109.0,3,914,0
82,156.0,4,124.0,4,1588,0
83,155.0,4,123.0,4,2128,0
84,148.0,4,119.0,3,1422,0
85,150.0,3,123.0,4,1428,0
86,140.0,1,123.0,4,974,0
87,145.0,2,123.0,4,1130,0
88,132.0,4,103.0,3,1636,0
89,156.0,4,124.0,4,1220,0
90,150.0,3,123.0,4,1446,0
91,133.0,1,119.0,3,1386,0
92,157.0,6,115.0,4,1274,0
93,146.0,2,124.0,4,1642,0
94,155.0,4,123.0,4,1306,0
95,137.0,1,120.0,4,2152,0
96,151.0,3,124.0,4,1746,0
97,135.0,3,111.0,3,1642,0
98,150.0,3,123.0,4,1414,0
99,146.0,2,124.0,4,1960,0
100,135.0,2,113.0,4,1176,0
