Episodio,Métrica integradora,Ghosts,Points,Big Points,Steps,Ganó
1,150.0,3,123.0,4,1190,0
2,127.0,0,115.0,4,1336,0
3,147.0,3,120.0,4,1408,0
4,155.0,4,123.0,4,1350,0
5,132.0,1,115.0,4,994,0
6,148.0,4,116.0,4,890,0
7,149.0,3,122.0,4,1016,0
8,161.0,5,124.0,4,1216,0
9,144.0,2,122.0,4,1156,0
10,144.0,3,117.0,4,1194,0
11,153.0,4,121.0,4,2432,0
12,149.0,3,122.0,4,1174,0
13,142.0,3,115.0,4,1238,0
14,120.0,2,101.0,3,1022,0
15,149.0,4,117.0,4,834,0
16,137.0,2,115.0,4,1012,0
17,139.0,1,122.0,4,1404,0
18,151.0,3,124.0,4,1054,0
19,152.0,5,115.0,4,862,0
20,149.0,3,122.0,4,1190,0
21,153.0,4,121.0,4,1782,0
22,144.0,3,117.0,4,1170,0
23,141.0,4,109.0,4,884,0
24,133.0,2,114.0,3,864,0
25,145.0,2,123.0,4,1178,0
26,155.0,4,123.0,4,1422,0
27,137.0,1,120.0,4,1002,0
28,131.0,2,112.0,3,1042,0
29,144.0,3,117.0,4,1308,0
30,139.0,1,122.0,4,1700,0
31,153.0,4,121.0,4,1156,0
32,136.0,1,119.0,4,1244,0
33,145.0,4,113.0,4,1370,0
34,149.0,3,122.0,4,1708,0
35,146.0,3,119.0,4,880,0
36,126.0,0,117.0,3,1590,0
37,137.0,2,115.0,4,1004,0
38,141.0,3,114.0,4,810,0
39,138.0,1,121.0,4,868,0
40,149.0,3,122.0,4,1232,0
41,139.0,3,112.0,4,802,0
42,153.0,4,121.0,4,1130,0
43,151.0,3,124.0,4,1066,0
44,144.0,3,117.0,4,1048,0
45,134.0,0,122.0,4,1124,0
46,142.0,3,118.0,3,1250,0
47,146.0,3,122.0,3,1428,0
48,145.0,3,118.0,4,920,0
49,132.0,1,115.0,4,1336,0
50,142.0,3,115.0,4,1152,0
51,150.0,4,118.0,4,978,0
52,130.0,1,113.0,4,818,0
53,154.0,4,122.0,4,1722,0
54,153.0,4,121.0,4,2762,0
55,142.0,3,118.0,3,1192,0
56,129.0,1,112.0,4,1552,0
57,156.0,4,124.0,4,1606,0
58,142.0,2,120.0,4,860,0
59,156.0,4,124.0,4,1286,0
60,122.0,1,105.0,4,1186,0
61,146.0,2,124.0,4,1036,0
62,145.0,3,118.0,4,858,0
63,140.0,2,118.0,4,910,0
64,153.0,4,121.0,4,1176,0
65,154.0,4,122.0,4,2182,0
66,148.0,3,121.0,4,1682,0
67,147.0,3,120.0,4,938,0
68,147.0,4,115.0,4,904,0
69,143.0,2,121.0,4,918,0
70,145.0,2,123.0,4,1640,0
71,174.0,8,122.0,4,1422,0
72,144.0,2,122.0,4,1330,0
73,144.0,2,122.0,4,2282,0
74,139.0,1,122.0,4,2836,0
75,155.0,4,123.0,4,1412,0
76,140.0,1,123.0,4,1166,0
77,139.0,1,122.0,4,1186,0
78,145.0,3,118.0,4,1022,0
79,141.0,2,119.0,4,850,0
80,160.0,5,123.0,4,1904,0
81,153.0,5,116.0,4,1274,0
82,148.0,4,116.0,4,866,0
83,110.0,3,89.0,2,1054,0
84,160.0,6,118.0,4,1498,0
85,155.0,4,123.0,4,1360,0
86,141.0,1,124.0,4,1754,0
87,146.0,4,114.0,4,836,0
88,140.0,2,118.0,4,886,0
89,154.0,5,117.0,4,1110,0
90,114.0,1,97.0,4,1044,0
91,136.0,1,119.0,4,1150,0
92,141.0,3,114.0,4,924,0
93,148.0,3,121.0,4,1698,0
94,137.0,2,115.0,4,1160,0
95,149.0,3,122.0,4,1164,0
96,135.0,2,113.0,4,818,0
97,151.0,4,119.0,4,988,0
98,152.0,4,120.0,4,2712,0
99,126.0,1,109.0,4,1248,0
100,145.0,3,121.0,3,1930,0
