state,action_1,action_2,action_3,action_4
"(3, 3, 1, 3)",155.98,152.597,141.503,157.753
"(1, 1, 3, 0)",133.103,140.079,147.414,133.431
"(3, 2, 3, 2)",167.006,150.194,158.529,144.969
"(3, 1, 3, 2)",149.984,147.146,156.007,147.605
"(0, 0, 3, 2)",132.065,136.788,151.788,140.718
"(0, 1, 1, 3)",144.997,153.287,156.868,165.554
"(0, 3, 1, 3)",155.437,176.899,160.157,179.245
"(0, 3, 1, 1)",120.151,142.059,128.948,128.292
"(3, 1, 3, 3)",157.065,146.885,157.487,159.314
"(3, 1, 1, 0)",144.629,117.905,117.925,112.057
"(3, 3, 1, 1)",156.201,155.546,141.204,133.275
"(1, 3, 3, 2)",147.856,159.644,158.491,142.827
"(3, 0, 3, 3)",21.032,12.308,36.504,0.0
"(3, 3, 3, 1)",153.104,163.016,139.502,136.347
"(0, 3, 0, 2)",133.296,158.057,137.415,153.111
"(2, 1, 1, 3)",166.173,165.217,161.252,165.454
"(2, 3, 3, 2)",175.32,175.413,181.824,174.204
"(1, 2, 3, 3)",134.52,127.808,144.038,165.731
"(3, 2, 3, 3)",141.517,145.707,145.699,155.103
"(3, 1, 1, 3)",148.207,140.906,146.505,152.594
"(3, 0, 1, 0)",147.622,130.814,134.127,131.249
"(1, 3, 0, 3)",145.936,170.607,146.953,165.129
"(3, 3, 2, 1)",62.041,77.166,127.99,51.301
"(1, 0, 3, 2)",121.417,100.367,156.465,130.249
"(1, 0, 3, 3)",141.676,126.451,150.299,151.74
"(2, 3, 1, 1)",144.228,148.689,139.308,137.303
"(2, 3, 1, 2)",149.18,160.581,145.603,135.277
"(1, 3, 0, 1)",123.824,137.963,122.603,129.071
"(1, 3, 0, 2)",138.76,148.458,125.739,141.098
"(3, 3, 0, 0)",147.424,136.427,126.958,127.487
"(3, 1, 0, 0)",148.256,134.626,118.272,119.759
"(0, 2, 3, 1)",50.534,64.422,109.526,57.519
"(2, 1, 3, 1)",140.505,133.602,154.528,136.999
"(0, 1, 3, 2)",139.475,144.404,158.238,147.76
"(0, 3, 1, 2)",136.201,160.898,143.545,148.822
"(2, 3, 3, 3)",172.186,185.405,184.8,186.872
"(0, 1, 3, 3)",129.996,145.623,163.205,160.349
"(0, 3, 2, 3)",140.99,170.55,162.85,175.25
"(0, 1, 0, 3)",140.442,147.116,132.088,156.164
"(0, 0, 2, 3)",152.982,149.669,161.14,179.624
"(3, 2, 0, 0)",43.517,82.223,35.184,28.15
"(2, 2, 3, 2)",97.823,79.457,152.956,85.899
"(0, 3, 3, 2)",68.721,68.1,128.882,72.564
"(2, 3, 3, 1)",129.835,154.75,174.739,146.645
"(0, 3, 2, 1)",96.563,75.697,53.762,71.777
"(0, 3, 2, 2)",44.138,47.99,62.597,93.924
"(1, 2, 1, 3)",67.727,72.311,116.574,107.434
"(2, 1, 3, 3)",152.684,148.558,164.319,161.512
"(1, 0, 1, 3)",25.535,10.398,57.781,50.274
"(2, 1, 3, 2)",169.142,161.6,176.52,166.036
"(3, 2, 1, 3)",53.443,69.811,38.788,107.19
"(1, 1, 2, 3)",72.991,87.559,127.511,84.212
"(3, 2, 3, 1)",48.604,36.229,78.57,108.333
"(2, 0, 3, 0)",79.003,39.484,92.766,66.192
"(3, 0, 3, 1)",0.0,11.075,15.515,41.62
"(0, 3, 3, 3)",70.102,96.686,104.673,103.638
"(3, 1, 2, 3)",43.655,45.826,95.699,20.255
"(3, 3, 0, 1)",3.813,5.163,34.692,4.396
"(3, 1, 0, 1)",6.831,12.138,0.0,0.365
"(0, 3, 3, 1)",83.433,112.911,104.732,89.109
"(0, 2, 3, 3)",68.928,80.02,119.283,81.98
"(3, 3, 0, 2)",0.0,36.87,11.87,14.835
"(2, 3, 2, 2)",72.21,81.52,61.035,115.582
"(1, 3, 2, 0)",48.129,35.961,33.326,66.029
"(3, 2, 3, 0)",3.947,11.581,27.131,2.88
"(2, 1, 2, 3)",69.229,28.606,101.144,56.277
"(1, 1, 0, 3)",34.661,7.557,51.12,51.07
"(3, 1, 2, 1)",85.132,76.834,109.699,72.349
"(2, 3, 2, 1)",14.837,16.53,12.793,12.09
"(0, 2, 3, 2)",36.94,31.729,28.136,101.983
"(3, 3, 3, 3)",143.605,26.461,70.924,74.137
"(2, 1, 3, 0)",0.0,0.0,30.528,0.0
"(2, 3, 0, 0)",80.697,31.535,24.166,14.914
"(2, 2, 1, 3)",3.645,110.506,0.0,23.736
"(2, 0, 3, 1)",0.0,10.022,0.0,0.0
"(3, 2, 1, 2)",76.383,14.842,0.0,8.354
"(3, 1, 3, 0)",82.791,66.577,119.394,54.314
"(3, 3, 3, 2)",16.987,33.721,138.492,92.376
"(3, 2, 1, 1)",16.534,2.108,25.46,15.252
"(3, 0, 1, 3)",16.311,0.0,0.0,0.0
"(3, 0, 2, 0)",48.828,25.771,20.624,19.31
"(3, 1, 2, 2)",0.0,84.822,36.63,61.796
"(3, 0, 3, 2)",0.0,0.0,40.299,1.807
"(3, 3, 1, 0)",56.957,71.438,43.245,67.345
"(1, 0, 0, 0)",99.06,55.011,40.968,31.012
"(2, 3, 1, 0)",45.846,6.28,5.722,12.684
"(2, 3, 3, 0)",0.0,0.0,0.0,14.583
"(0, 1, 2, 3)",39.623,15.865,14.206,20.69
"(0, 2, 0, 3)",19.821,2.242,12.126,4.838
"(3, 0, 1, 2)",13.513,0.0,0.0,0.0
"(0, 0, 0, 0)",75.278,14.419,18.627,20.031
"(3, 0, 0, 0)",104.78,0.0,21.91,21.65
"(0, 1, 1, 0)",10.664,12.076,21.512,0.0
"(3, 3, 0, 3)",0.0,0.0,13.888,3.762
"(2, 2, 3, 1)",0.3,0.0,17.02,-0.066
"(0, 2, 1, 3)",-1.757,0.54,10.902,1.5
"(3, 3, 2, 0)",9.171,8.596,40.116,12.979
"(3, 1, 0, 2)",14.044,-0.041,-0.972,0.598
"(2, 0, 3, 3)",0.0,0.0,0.0,15.472
"(0, 0, 3, 0)",5.848,0.0,0.0,0.0
"(2, 0, 1, 3)",14.407,0.0,0.0,0.0
