Episodio,Reward,Ghosts,Points,Big Points,Steps
1,21.0,0,0,0,476
2,16.0,0,0,0,526
3,15.0,0,1.0,0,364
4,33.0,0,0,0,622
5,8.0,0,0,0,336
6,8.0,0,0,0,354
7,11.0,0,0,0,412
8,23.0,0,0,0,648
9,17.0,0,0,0,448
10,6.0,0,0,0,336
11,10.0,0,0,0,962
12,20.0,0,0,0,478
13,9.0,0,0,0,336
14,16.0,0,0,0,468
15,20.0,0,0,0,566
16,9.0,0,0,0,430
17,10.0,0,0,0,332
18,93.0,0,0,0,785
19,18.0,0,0,0,480
20,10.0,0,0,0,334
21,16.0,0,0,0,458
22,9.0,0,0,0,368
23,12.0,0,0,0,476
24,13.0,0,0,0,408
25,15.0,0,0,0,1182
26,14.0,0,0,0,446
27,10.0,0,0,0,366
28,17.0,0,0,0,422
29,12.0,0,0,0,440
30,10.0,0,0,0,404
31,16.0,0,0,0,630
32,14.0,0,0,0,414
33,14.0,0,0,0,418
34,29.0,0,0,0,566
35,17.0,0,0,0,424
36,10.0,0,0,0,346
37,12.0,0,0,0,410
38,9.0,0,0,0,388
39,11.0,0,0,0,488
40,12.0,0,0,0,382
41,13.0,0,0,0,526
42,19.0,0,0,0,406
43,9.0,0,0,0,400
44,9.0,0,0,0,348
45,13.0,0,0,0,446
46,17.0,0,0,0,594
47,11.0,0,0,0,488
48,17.0,0,0,0,592
49,8.0,0,0,0,342
50,18.0,0,0,0,598
51,14.0,0,0,0,528
52,11.0,0,0,0,374
53,11.0,0,0,0,418
54,11.0,0,0,0,364
55,10.0,0,0,0,354
56,15.0,0,0,0,382
57,9.0,0,0,0,402
58,24.0,0,0,0,708
59,21.0,0,0,0,406
60,11.0,0,0,0,340
61,12.0,0,0,0,418
62,9.0,0,0,0,336
63,7.0,0,0,0,344
64,11.0,0,0,0,416
65,11.0,0,0,0,404
66,14.0,0,0,0,478
67,11.0,0,1.0,0,322
68,15.0,0,0,0,488
69,11.0,0,0,0,410
70,101.0,0,0,0,1030
71,35.0,0,0,0,622
72,12.0,0,0,0,420
73,14.0,0,0,0,446
74,18.0,0,0,0,458
75,13.0,0,0,0,432
76,12.0,0,0,0,398
77,9.0,0,0,0,438
78,20.0,0,0,0,578
79,16.0,0,0,0,390
80,19.0,0,0,0,546
81,11.0,0,0,0,408
82,4.0,0,0,0,344
83,9.0,0,0,0,422
84,14.0,0,0,0,428
85,6.0,0,0,0,354
86,15.0,0,0,0,460
87,8.0,0,0,0,332
88,7.0,0,0,0,314
89,10.0,0,0,0,606
90,8.0,0,0,0,356
91,18.0,0,0,0,570
92,16.0,0,0,0,518
93,10.0,0,0,0,382
94,9.0,0,0,0,340
95,30.0,0,0,0,792
96,13.0,0,0,0,344
97,18.0,0,0,0,388
98,10.0,0,0,0,336
99,13.0,0,0,0,420
100,18.0,0,0,0,436
