Episodio,Reward,Ghosts,Points,Big Points,Steps
1,28.0,0,14.0,0,340
2,18.0,0,9.0,0,308
3,28.0,0,14.0,0,542
4,24.0,0,12.0,0,346
5,34.0,0,17.0,0,536
6,34.0,0,17.0,0,412
7,28.0,0,14.0,0,332
8,36.0,0,18.0,0,376
9,22.0,0,11.0,0,360
10,22.0,0,11.0,0,344
11,34.0,0,17.0,0,348
12,36.0,0,18.0,0,508
13,28.0,0,14.0,0,352
14,34.0,0,17.0,0,436
15,24.0,0,12.0,0,524
16,36.0,0,18.0,0,370
17,42.0,0,21.0,0,372
18,28.0,0,14.0,0,346
19,26.0,0,13.0,0,372
20,22.0,0,11.0,0,414
21,46.0,0,23.0,0,406
22,38.0,0,19.0,0,436
23,28.0,0,14.0,0,400
24,56.0,0,28.0,0,714
25,28.0,0,14.0,0,412
26,22.0,0,11.0,0,316
27,30.0,0,15.0,0,404
28,18.0,0,9.0,0,310
29,24.0,0,12.0,0,332
30,16.0,0,8.0,0,330
31,20.0,0,10.0,0,348
32,22.0,0,11.0,0,344
33,22.0,0,11.0,0,350
34,30.0,0,15.0,0,440
35,24.0,0,12.0,0,416
36,32.0,0,16.0,0,400
37,44.0,0,22.0,0,424
38,26.0,0,13.0,0,334
39,58.0,0,29.0,0,436
40,22.0,0,11.0,0,424
41,26.0,0,13.0,0,332
42,36.0,0,18.0,0,450
43,26.0,0,13.0,0,358
44,28.0,0,14.0,0,412
45,24.0,0,12.0,0,432
46,42.0,0,21.0,0,386
47,28.0,0,14.0,0,370
48,22.0,0,11.0,0,384
49,14.0,0,7.0,0,332
50,32.0,0,16.0,0,456
51,20.0,0,10.0,0,346
52,30.0,0,15.0,0,390
53,24.0,0,12.0,0,554
54,24.0,0,12.0,0,372
55,26.0,0,13.0,0,354
56,22.0,0,11.0,0,360
57,30.0,0,15.0,0,442
58,36.0,0,18.0,0,492
59,26.0,0,13.0,0,372
60,36.0,0,18.0,0,382
61,26.0,0,13.0,0,378
62,32.0,0,16.0,0,416
63,34.0,0,17.0,0,434
64,32.0,0,16.0,0,340
65,24.0,0,12.0,0,374
66,32.0,0,16.0,0,394
67,32.0,0,16.0,0,380
68,28.0,0,14.0,0,358
69,28.0,0,14.0,0,324
70,22.0,0,11.0,0,392
71,18.0,0,9.0,0,332
72,40.0,0,20.0,0,684
73,32.0,0,16.0,0,348
74,32.0,0,16.0,0,366
75,22.0,0,11.0,0,368
76,30.0,0,15.0,0,364
77,34.0,0,17.0,0,416
78,42.0,0,21.0,0,516
79,24.0,0,12.0,0,332
80,30.0,0,15.0,0,452
81,30.0,0,15.0,0,396
82,20.0,0,10.0,0,340
83,20.0,0,10.0,0,310
84,32.0,0,16.0,0,358
85,24.0,0,12.0,0,344
86,48.0,0,24.0,0,392
87,24.0,0,12.0,0,338
88,22.0,0,11.0,0,374
89,20.0,0,10.0,0,336
90,22.0,0,11.0,0,322
91,28.0,0,14.0,0,376
92,38.0,0,19.0,0,380
93,26.0,0,13.0,0,622
94,20.0,0,10.0,0,390
95,42.0,0,21.0,0,358
96,26.0,0,13.0,0,358
97,28.0,0,14.0,0,314
98,34.0,0,17.0,0,394
99,32.0,0,16.0,0,372
100,30.0,0,15.0,0,360
