Episodio,Métrica integradora,Ghosts,Points,Big Points,Steps,Ganó
1,160.0,5,123.0,4,1136,0
2,161.0,5,124.0,4,1072,0
3,159.0,5,122.0,4,1188,0
4,157.0,4,125.0,4,1216,0
5,152.0,4,120.0,4,1046,0
6,322.0,11,243.0,8,2290,1
7,163.0,6,121.0,4,1134,0
8,153.0,4,121.0,4,1318,0
9,167.0,6,125.0,4,1346,0
10,154.0,4,122.0,4,1300,0
11,159.0,5,122.0,4,1046,0
12,153.0,4,121.0,4,1110,0
13,160.0,5,123.0,4,1254,0
14,161.0,5,124.0,4,1196,0
15,166.0,6,124.0,4,1406,0
16,154.0,4,122.0,4,1074,0
17,159.0,5,122.0,4,1074,0
18,160.0,5,123.0,4,1166,0
19,153.0,4,121.0,4,1302,0
20,158.0,5,121.0,4,1054,0
21,160.0,5,123.0,4,1116,0
22,155.0,4,123.0,4,1128,0
23,164.0,6,122.0,4,1264,0
24,167.0,6,125.0,4,1478,0
25,165.0,6,123.0,4,1188,0
26,151.0,4,119.0,4,998,0
27,160.0,5,123.0,4,1170,0
28,160.0,5,123.0,4,1296,0
29,115.0,1,98.0,4,984,0
30,160.0,5,123.0,4,1110,0
31,160.0,5,123.0,4,1244,0
32,162.0,5,125.0,4,1232,0
33,158.0,5,121.0,4,1104,0
34,163.0,6,121.0,4,1166,0
35,167.0,6,125.0,4,1258,0
36,164.0,6,122.0,4,1146,0
37,166.0,6,124.0,4,1272,0
38,151.0,4,119.0,4,990,0
39,162.0,5,125.0,4,1284,0
40,160.0,5,123.0,4,1170,0
41,161.0,5,124.0,4,1236,0
42,164.0,6,122.0,4,1102,0
43,156.0,4,124.0,4,1078,0
44,160.0,5,123.0,4,1136,0
45,161.0,5,124.0,4,1276,0
46,161.0,5,124.0,4,1096,0
47,165.0,6,123.0,4,1198,0
48,152.0,4,120.0,4,1066,0
49,161.0,5,124.0,4,1200,0
50,158.0,5,121.0,4,1076,0
51,153.0,4,121.0,4,1054,0
52,161.0,5,124.0,4,1146,0
53,172.0,8,120.0,4,1208,0
54,158.0,5,121.0,4,1112,0
55,157.0,5,120.0,4,1048,0
56,159.0,5,122.0,4,1108,0
57,162.0,5,125.0,4,1072,0
58,159.0,5,122.0,4,1084,0
59,156.0,4,124.0,4,1048,0
60,154.0,4,122.0,4,1054,0
61,164.0,6,122.0,4,1106,0
62,161.0,5,124.0,4,1098,0
63,160.0,5,123.0,4,1264,0
64,161.0,5,124.0,4,1340,0
65,160.0,5,123.0,4,1208,0
66,156.0,5,119.0,4,1030,0
67,159.0,5,122.0,4,1264,0
68,161.0,5,124.0,4,1302,0
69,161.0,5,124.0,4,1236,0
70,155.0,4,123.0,4,1044,0
71,154.0,4,122.0,4,1150,0
72,137.0,1,120.0,4,1214,0
73,160.0,5,123.0,4,1240,0
74,160.0,5,123.0,4,1304,0
75,164.0,6,122.0,4,1018,0
76,165.0,6,123.0,4,1060,0
77,159.0,5,122.0,4,1064,0
78,160.0,5,123.0,4,1118,0
79,160.0,5,123.0,4,1166,0
80,156.0,4,124.0,4,1056,0
81,137.0,3,110.0,4,1048,0
82,166.0,6,124.0,4,1258,0
83,156.0,4,124.0,4,1254,0
84,153.0,4,121.0,4,1404,0
85,160.0,5,123.0,4,1494,0
86,152.0,4,120.0,4,932,0
87,316.0,10,242.0,8,1942,1
88,158.0,5,121.0,4,1140,0
89,144.0,3,117.0,4,1586,0
90,160.0,5,123.0,4,1160,0
91,158.0,5,121.0,4,1204,0
92,154.0,4,122.0,4,1220,0
93,166.0,6,124.0,4,1294,0
94,160.0,5,123.0,4,1170,0
95,150.0,4,118.0,4,1026,0
96,158.0,5,121.0,4,1010,0
97,162.0,5,125.0,4,1232,0
98,156.0,4,124.0,4,1312,0
99,164.0,6,122.0,4,1274,0
100,160.0,5,123.0,4,1212,0
