Episodio,Reward,Ghosts,Points,Big Points,Steps,Ganó
1,153.0,4,121.0,4,1114,0
2,167.0,7,120.0,4,1464,0
3,156.0,4,124.0,4,1258,0
4,156.0,4,124.0,4,1058,0
5,122.0,2,103.0,3,892,0
6,144.0,4,112.0,4,1310,0
7,145.0,2,123.0,4,1040,0
8,138.0,2,116.0,4,1132,0
9,146.0,2,124.0,4,1236,0
10,165.0,6,123.0,4,1120,0
11,155.0,4,123.0,4,1264,0
12,155.0,4,123.0,4,1262,0
13,155.0,4,123.0,4,1262,0
14,144.0,2,122.0,4,1104,0
15,152.0,4,120.0,4,1088,0
16,156.0,4,124.0,4,1250,0
17,169.0,7,122.0,4,1402,0
18,146.0,2,124.0,4,1082,0
19,145.0,2,123.0,4,1316,0
20,156.0,4,124.0,4,1354,0
21,156.0,4,124.0,4,1368,0
22,156.0,4,124.0,4,1340,0
23,145.0,2,123.0,4,1094,0
24,154.0,4,122.0,4,1098,0
25,167.0,7,120.0,4,1152,0
26,156.0,4,124.0,4,1176,0
27,153.0,4,121.0,4,1272,0
28,147.0,3,120.0,4,952,0
29,148.0,3,121.0,4,1098,0
30,156.0,4,124.0,4,1198,0
31,138.0,2,116.0,4,996,0
32,138.0,2,116.0,4,996,0
33,156.0,4,124.0,4,994,0
34,154.0,4,122.0,4,1248,0
35,141.0,2,119.0,4,1100,0
36,154.0,4,122.0,4,1286,0
37,143.0,2,121.0,4,1262,0
38,156.0,4,124.0,4,1314,0
39,155.0,4,123.0,4,1328,0
40,145.0,2,123.0,4,1196,0
41,74.0,4,48.0,2,690,0
42,146.0,2,124.0,4,1314,0
43,156.0,4,124.0,4,1152,0
44,157.0,4,125.0,4,1252,0
45,146.0,2,124.0,4,1180,0
46,144.0,2,122.0,4,976,0
47,146.0,2,124.0,4,964,0
48,143.0,4,114.0,3,1204,0
49,156.0,4,124.0,4,1150,0
50,156.0,4,124.0,4,1050,0
51,156.0,4,124.0,4,1234,0
52,146.0,2,124.0,4,1116,0
53,141.0,2,119.0,4,1114,0
54,155.0,4,123.0,4,1350,0
55,156.0,4,124.0,4,1038,0
56,154.0,4,122.0,4,1384,0
57,146.0,2,124.0,4,1064,0
58,146.0,2,124.0,4,1242,0
59,147.0,3,120.0,4,1040,0
60,155.0,4,123.0,4,1150,0
61,149.0,4,117.0,4,1050,0
62,137.0,2,115.0,4,1040,0
63,141.0,2,119.0,4,1230,0
64,156.0,4,124.0,4,1078,0
65,144.0,2,122.0,4,880,0
66,143.0,2,121.0,4,1058,0
67,131.0,1,114.0,4,922,0
68,153.0,4,121.0,4,994,0
69,156.0,4,124.0,4,1348,0
70,156.0,4,124.0,4,1200,0
71,139.0,2,117.0,4,1108,0
72,156.0,4,124.0,4,1068,0
73,156.0,4,124.0,4,1190,0
74,156.0,4,124.0,4,1102,0
75,156.0,4,124.0,4,1274,0
76,153.0,4,121.0,4,978,0
77,154.0,4,122.0,4,1264,0
78,140.0,4,108.0,4,940,0
79,146.0,2,124.0,4,1036,0
80,163.0,6,121.0,4,1054,0
81,150.0,3,123.0,4,1124,0
82,156.0,4,124.0,4,1296,0
83,156.0,4,124.0,4,1174,0
84,156.0,4,124.0,4,1036,0
85,153.0,4,121.0,4,1022,0
86,142.0,3,115.0,4,1026,0
87,156.0,4,124.0,4,1290,0
88,143.0,2,121.0,4,1160,0
89,141.0,2,119.0,4,1094,0
90,157.0,4,125.0,4,1438,0
91,143.0,2,121.0,4,1190,0
92,145.0,2,123.0,4,1296,0
93,145.0,2,123.0,4,1068,0
94,156.0,4,124.0,4,1114,0
95,153.0,4,121.0,4,1030,0
96,146.0,2,124.0,4,1150,0
97,156.0,4,124.0,4,1134,0
98,150.0,3,123.0,4,1286,0
99,137.0,1,120.0,4,1002,0
100,146.0,2,124.0,4,940,0
